@RELATION Metrics-Roles

@ATTRIBUTE ACAIC REAL
@ATTRIBUTE ACMIC REAL
@ATTRIBUTE CBO REAL
@ATTRIBUTE CLD REAL
@ATTRIBUTE DIT REAL
@ATTRIBUTE connectivity REAL
@ATTRIBUTE DCAEC REAL
@ATTRIBUTE DCMEC REAL
@ATTRIBUTE LCOM5 REAL
@ATTRIBUTE NCM REAL
@ATTRIBUTE NMA REAL
@ATTRIBUTE NMI REAL
@ATTRIBUTE NMO REAL
@ATTRIBUTE NOC REAL
@ATTRIBUTE WMC REAL
@ATTRIBUTE Roles {0, 1}

@DATA
0.0,0.0,13.0,0.0,2.0,1.0727272727272728,0.0,0.0,0.9454545432871039,22.0,11.0,9.0,2.0,0.0,92.0,1
0.0,0.0,29.0,0.0,1.0,1.0541125541125542,0.0,0.0,0.9805194776166569,55.0,27.0,28.0,0.0,0.0,91.0,1
0.0,0.0,42.0,0.0,1.0,0.922077922077922,0.0,0.0,0.9499999985776164,24.0,24.0,0.0,0.0,0.0,248.0,1
0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,5.0,2.0,0.0,16.0,1
0.0,0.0,0.0,0.0,6.0,2.1666666666666665,0.0,0.0,1.3333333333333333,77.0,1.0,72.0,4.0,0.0,24.0,1
0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,17.0,1.0,15.0,1.0,0.0,4.0,1
0.0,0.0,10.0,1.0,2.0,0.9226890756302522,0.0,0.0,0.9535714285714286,47.0,30.0,10.0,7.0,3.0,295.0,1
0.0,0.0,9.0,1.0,2.0,0.9454901960784313,0.0,0.0,0.976470585985511,61.0,46.0,7.0,8.0,4.0,431.0,1
0.0,0.0,4.0,0.0,2.0,1.0666666666666667,0.0,0.0,0.8333333333333334,18.0,3.0,10.0,5.0,0.0,45.0,1
0.0,0.0,3.0,0.0,3.0,1.1318681318681318,0.0,0.0,0.9761904733521598,57.0,9.0,40.0,8.0,0.0,137.0,1
0.0,0.0,1.0,0.0,3.0,1.1,0.0,0.0,0.6666666666666666,40.0,4.0,32.0,4.0,0.0,91.0,1
0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,1.0,11.0,1.0,0.0,8.0,1
0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,1.0,11.0,1.0,0.0,8.0,1
0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,1.0,11.0,1.0,0.0,8.0,1
0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,1.0,11.0,1.0,0.0,9.0,1
0.0,0.0,5.0,0.0,2.0,0.8752821715127561,0.0,0.0,0.954568882645006,509.0,505.0,3.0,1.0,0.0,3927.0,1
0.0,0.0,3.0,0.0,2.0,0.7057057057057057,0.0,0.0,0.9405405360299188,43.0,39.0,3.0,1.0,0.0,676.0,1
