@RELATION Metrics-Roles

@ATTRIBUTE ACAIC REAL
@ATTRIBUTE ACMIC REAL
@ATTRIBUTE CBO REAL
@ATTRIBUTE CLD REAL
@ATTRIBUTE DIT REAL
@ATTRIBUTE connectivity REAL
@ATTRIBUTE DCAEC REAL
@ATTRIBUTE DCMEC REAL
@ATTRIBUTE LCOM5 REAL
@ATTRIBUTE NCM REAL
@ATTRIBUTE NMA REAL
@ATTRIBUTE NMI REAL
@ATTRIBUTE NMO REAL
@ATTRIBUTE NOC REAL
@ATTRIBUTE WMC REAL
@ATTRIBUTE Roles {0, 1}

@DATA
0.0,0.0,13.0,0.0,2.0,1.1181818181818182,0.0,0.0,0.9818181801926006,22.0,11.0,9.0,2.0,0.0,92.0,1
0.0,1.0,9.0,0.0,2.0,0.9453781512605042,0.0,0.0,0.9535714285714286,48.0,16.0,11.0,21.0,0.0,150.0,1
0.0,0.0,30.0,1.0,3.0,0.9876893939393939,0.0,0.0,0.9669421468720292,56.0,28.0,21.0,7.0,1.0,333.0,1
0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,47.0,1.0,45.0,1.0,0.0,5.0,1
0.0,0.0,34.0,0.0,3.0,0.9924050632911392,0.0,0.0,0.9778409080579877,104.0,74.0,22.0,8.0,0.0,468.0,1
0.0,0.0,7.0,0.0,3.0,1.1143790849673203,0.0,0.0,1.0,43.0,15.0,22.0,6.0,0.0,182.0,1
0.0,0.0,0.0,0.0,3.0,0.4523809523809524,0.0,0.0,0.6571428499051503,55.0,4.0,46.0,5.0,0.0,46.0,1
0.0,0.0,2.0,0.0,2.0,0.7083333333333334,0.0,0.0,0.7777777678436704,17.0,7.0,6.0,4.0,0.0,48.0,1
0.0,0.0,2.0,0.0,5.0,1.55,0.0,0.0,1.2,62.0,1.0,55.0,6.0,0.0,36.0,1
0.0,0.0,12.0,0.0,5.0,0.9057471264367816,0.0,0.0,0.911111107468605,83.0,22.0,51.0,10.0,0.0,204.0,1
0.0,0.0,5.0,1.0,5.0,0.8863636363636364,0.0,0.0,0.9166666666666666,68.0,2.0,54.0,12.0,1.0,76.0,1
0.0,0.0,1.0,0.0,6.0,2.1666666666666665,0.0,0.0,1.3333333333333333,68.0,1.0,63.0,4.0,0.0,18.0,1
0.0,1.0,0.0,0.0,5.0,0.8095238095238095,0.0,0.0,0.7857142857142857,50.0,5.0,40.0,5.0,0.0,40.0,1
0.0,1.0,3.0,0.0,5.0,1.75,0.0,0.0,1.25,48.0,3.0,41.0,4.0,0.0,39.0,1
0.0,2.0,0.0,0.0,2.0,1.2638888888888888,0.0,0.0,0.0,11.0,6.0,0.0,5.0,0.0,38.0,1
1.0,0.0,11.0,1.0,5.0,0.9534534534534534,0.0,0.0,0.9369369322383726,69.0,13.0,30.0,26.0,2.0,251.0,1
0.0,0.0,3.0,0.0,6.0,1.1090909090909091,0.0,0.0,0.939393934878436,72.0,7.0,59.0,6.0,0.0,92.0,1
0.0,0.0,3.0,0.0,6.0,3.5,0.0,0.0,1.5,68.0,3.0,64.0,1.0,0.0,14.0,1
0.0,4.0,2.0,1.0,5.0,0.9868951612903226,0.0,0.0,0.921875,78.0,7.0,44.0,27.0,2.0,152.0,1
0.0,0.0,1.0,0.0,6.0,1.75,0.0,0.0,1.25,78.0,2.0,72.0,4.0,0.0,47.0,1
0.0,0.0,0.0,0.0,6.0,2.1666666666666665,0.0,0.0,1.3333333333333333,77.0,1.0,72.0,4.0,0.0,24.0,1
0.0,0.0,5.0,1.0,5.0,0.8863636363636364,0.0,0.0,0.9166666666666666,68.0,2.0,54.0,12.0,1.0,76.0,1
0.0,0.0,1.0,0.0,6.0,2.1666666666666665,0.0,0.0,1.3333333333333333,68.0,1.0,63.0,4.0,0.0,18.0,1
0.0,0.0,13.0,0.0,3.0,0.9874342489772063,0.0,0.0,0.9661016930210389,67.0,25.0,6.0,36.0,0.0,300.0,1
0.0,0.0,5.0,0.0,2.0,0.75,0.0,0.0,0.625,9.0,5.0,3.0,1.0,0.0,43.0,1
0.0,0.0,5.0,0.0,2.0,-0.16666666666666666,0.0,0.0,0.3333333333333333,8.0,4.0,3.0,1.0,0.0,28.0,1
0.0,0.0,6.0,0.0,2.0,1.5,0.0,0.0,0.8333333134651184,10.0,3.0,6.0,1.0,0.0,67.0,1
0.0,0.0,9.0,0.0,2.0,0.8333333333333334,0.0,0.0,0.6666666666666666,8.0,4.0,3.0,1.0,0.0,27.0,1
0.0,0.0,4.0,0.0,2.0,-1.0,0.0,0.0,0.5,9.0,3.0,5.0,1.0,0.0,32.0,1
0.0,0.0,5.0,0.0,2.0,1.1785714285714286,0.0,0.0,0.875,13.0,8.0,3.0,2.0,0.0,107.0,1
0.0,0.0,1.0,0.0,3.0,1.1666666666666667,0.0,0.0,0.90625,13.0,4.0,7.0,2.0,0.0,145.0,1
