@RELATION Metrics-Roles

@ATTRIBUTE ACAIC REAL
@ATTRIBUTE ACMIC REAL
@ATTRIBUTE CBO REAL
@ATTRIBUTE CLD REAL
@ATTRIBUTE DIT REAL
@ATTRIBUTE connectivity REAL
@ATTRIBUTE DCAEC REAL
@ATTRIBUTE DCMEC REAL
@ATTRIBUTE LCOM5 REAL
@ATTRIBUTE NCM REAL
@ATTRIBUTE NMA REAL
@ATTRIBUTE NMI REAL
@ATTRIBUTE NMO REAL
@ATTRIBUTE NOC REAL
@ATTRIBUTE WMC REAL
@ATTRIBUTE Roles {'Builder-Director','Composite-Composite','Bridge-Implementor','Visitor-Element','Command-Receiver','Prototype-Prototype','Visitor-Visitor','Observer-Subject','State-ConcreteState','Command-Invoker','Memento-Memento','TemplateMethod-AbstractClass','Iterator-Client','Template Method-AbstractClass','Decorator-Decorator','Factory Method-ConcreteProduct','Adapter-Adapter','Iterator-Aggregate','Template Method-ConcreteClass','State-Context','Iterator-Iterator','TemplateMethod-ConcreteClass','Adapter-Target','Command-Command','Bridge-RefinedAbstraction','Bridge-ConcreteImplementor','Observer-Observer','Builder-Product','Command-ConcreteCommand','Builder-Builder','Factory Method-ConcreteCreator','Command-Client','Decorator-ConcreteDecorator','Adapter-Client','Factory Method-Creator','Observer-ConcreteSubject','AbstractFactory-Product','AbstractFactory-AbstractFactory','AbstractFactory-Client','Decorator-Component','Facade-SubsystemClass','Composite-Leaf','Adapter-Adaptee','AbstractFactory-AbstractProduct','Strategy-Strategy','Visitor-ObjectStructure','Factory Method-Product','Memento-Caretaker','Bridge-Abstraction','Strategy-ConcreteStrategy','Proxy-RealSubject','Composite-Client','Builder-ConcreteBuilder','Visitor-ConcreteElement','Facade-Facade','Iterator-ConcreteAggregate','Iterator-ConcreteIterator','Memento-Originator','Observer-ConcreteObserver','Singleton-Singleton','Proxy-Subject','Null Object-NullObject','Prototype-ConcretePrototype','AbstractFactory-ConcreteFactory','Proxy-Proxy','Prototype-Client','Strategy-Context','Composite-Component','Decorator-ConcreteComponent','State-State','Visitor-ConcreteVisitor'}

@DATA
0.0,0.0,8.0,2.0,2.0,3.5,0.0,0.0,0.0,10.0,2.0,5.0,3.0,4.0,27.0,'AbstractFactory-Client'
0.0,0.0,42.0,0.0,1.0,0.9935064935064936,0.0,0.0,0.977272726256739,24.0,24.0,0.0,0.0,0.0,248.0,'AbstractFactory-Client'
0.0,0.0,10.0,2.0,2.0,1.125,0.0,0.0,1.0249999985098839,46.0,9.0,35.0,2.0,4.0,45.0,'AbstractFactory-Product'
0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,45.0,1.0,43.0,1.0,0.0,19.0,'AbstractFactory-Product'
0.0,0.0,35.0,1.0,3.0,1.2083333333333333,0.0,0.0,0.9861111111111112,54.0,10.0,42.0,2.0,5.0,129.0,'AbstractFactory-Product'
0.0,0.0,23.0,0.0,4.0,1.75,0.0,0.0,1.25,52.0,1.0,46.0,5.0,0.0,20.0,'AbstractFactory-Product'
0.0,0.0,19.0,0.0,4.0,1.3333333333333333,0.0,0.0,1.0714285692998342,52.0,1.0,43.0,8.0,0.0,71.0,'AbstractFactory-Product'
0.0,0.0,9.0,0.0,4.0,1.75,0.0,0.0,1.25,52.0,1.0,46.0,5.0,0.0,30.0,'AbstractFactory-Product'
0.0,0.0,6.0,0.0,4.0,2.1666666666666665,0.0,0.0,1.3333333333333333,52.0,1.0,47.0,4.0,0.0,22.0,'AbstractFactory-Product'
0.0,0.0,8.0,0.0,4.0,1.75,0.0,0.0,1.25,52.0,1.0,46.0,5.0,0.0,34.0,'AbstractFactory-Product'
0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,45.0,1.0,43.0,1.0,0.0,15.0,'AbstractFactory-Product'
0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,45.0,1.0,43.0,1.0,0.0,12.0,'AbstractFactory-Product'
0.0,0.0,25.0,1.0,2.0,1.2666666666666666,0.0,0.0,0.9333333298563957,10.0,6.0,2.0,2.0,1.0,108.0,'AbstractFactory-Product'
