# ReferentFileClass | ReferentClass | ReferentType | ReferentTag | ReferringPackage | ReferringClass | ReferringMethod | ReferringFile | ReferringLineNumber
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.property|PropertyTable|PropertyTable|PropertyTable.java|91
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.property|RootProperty|RootProperty|RootProperty.java|86
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.property|PropertyTable|PropertyTable|PropertyTable.java|113
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.property|PropertyFactory|convertToProperties|PropertyFactory.java|105
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.property|PropertyFactory|convertToProperties|PropertyFactory.java|133
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.property|Property|Property|Property.java|127
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.property|Property|Property|Property.java|163
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.property|Property|Property|Property.java|165
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|PropertyBlock|?|PropertyBlock.java|78
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|PropertyBlock|?|PropertyBlock.java|78
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|SmallDocumentBlock|?|SmallDocumentBlock.java|78
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|DocumentBlock|DocumentBlock|DocumentBlock.java|121
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|DocumentBlock|read|DocumentBlock.java|210
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|DocumentBlock|read|DocumentBlock.java|211
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|DocumentBlock|read|DocumentBlock.java|213
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|DocumentBlock|read|DocumentBlock.java|226
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|DocumentBlock|read|DocumentBlock.java|228
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|DocumentBlock|read|DocumentBlock.java|232
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|DocumentBlock|read|DocumentBlock.java|233
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|DocumentBlock|convert|DocumentBlock.java|171
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|DocumentBlock|convert|DocumentBlock.java|171
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|DocumentBlock|convert|DocumentBlock.java|194
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|DocumentBlock|convert|DocumentBlock.java|179
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|DocumentBlock|convert|DocumentBlock.java|183
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|DocumentBlock|convert|DocumentBlock.java|186
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|RawDataBlock|RawDataBlock|RawDataBlock.java|86
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|RawDataBlock|RawDataBlock|RawDataBlock.java|93
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|RawDataBlock|RawDataBlock|RawDataBlock.java|100
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.filesystem|POIFSDocument|countBlocks|POIFSDocument.java|657
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.filesystem|POIFSDocument|countBlocks|POIFSDocument.java|658
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.filesystem|POIFSDocument|writeBlocks|POIFSDocument.java|631
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|BlockAllocationTableWriter|BlockAllocationTableWriter|BlockAllocationTableWriter.java|98
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|BATBlock|?|BATBlock.java|79
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|BATBlock|createXBATBlocks|BATBlock.java|167
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|BATBlock|BATBlock|BATBlock.java|94
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|HeaderBlockWriter|HeaderBlockWriter|HeaderBlockWriter.java|102
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|HeaderBlockWriter|HeaderBlockWriter|HeaderBlockWriter.java|118
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|HeaderBlockWriter|HeaderBlockWriter|HeaderBlockWriter.java|123
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|HeaderBlockWriter|HeaderBlockWriter|HeaderBlockWriter.java|126
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|BlockAllocationTableReader|setEntries|BlockAllocationTableReader.java|308
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.storage|BlockAllocationTableReader|fetchBlocks|BlockAllocationTableReader.java|225
POIFSConstants|POIFSConstants|POIFSConstants|Class|org.apache.poi.poifs.common|?|?|POIFSConstants.java|63
POIFSConstants|POIFSConstants|POIFSConstants.UNUSED_BLOCK|Variable|org.apache.poi.poifs.storage|BlockAllocationTableReader|setEntries|BlockAllocationTableReader.java|308
POIFSConstants|POIFSConstants|POIFSConstants.UNUSED_BLOCK|Variable|org.apache.poi.poifs.common|POIFSConstants|?|POIFSConstants.java|68
POIFSConstants|POIFSConstants|POIFSConstants.PROPERTY_SIZE|Variable|org.apache.poi.poifs.property|PropertyFactory|convertToProperties|PropertyFactory.java|105
POIFSConstants|POIFSConstants|POIFSConstants.PROPERTY_SIZE|Variable|org.apache.poi.poifs.property|PropertyFactory|convertToProperties|PropertyFactory.java|133
POIFSConstants|POIFSConstants|POIFSConstants.PROPERTY_SIZE|Variable|org.apache.poi.poifs.property|Property|Property|Property.java|127
POIFSConstants|POIFSConstants|POIFSConstants.PROPERTY_SIZE|Variable|org.apache.poi.poifs.property|Property|Property|Property.java|163
POIFSConstants|POIFSConstants|POIFSConstants.PROPERTY_SIZE|Variable|org.apache.poi.poifs.property|Property|Property|Property.java|165
POIFSConstants|POIFSConstants|POIFSConstants.PROPERTY_SIZE|Variable|org.apache.poi.poifs.storage|PropertyBlock|?|PropertyBlock.java|78
POIFSConstants|POIFSConstants|POIFSConstants.PROPERTY_SIZE|Variable|org.apache.poi.poifs.common|POIFSConstants|?|POIFSConstants.java|67
POIFSConstants|POIFSConstants|POIFSConstants.END_OF_CHAIN|Variable|org.apache.poi.poifs.property|PropertyTable|PropertyTable|PropertyTable.java|91
POIFSConstants|POIFSConstants|POIFSConstants.END_OF_CHAIN|Variable|org.apache.poi.poifs.property|RootProperty|RootProperty|RootProperty.java|86
POIFSConstants|POIFSConstants|POIFSConstants.END_OF_CHAIN|Variable|org.apache.poi.poifs.property|PropertyTable|PropertyTable|PropertyTable.java|113
POIFSConstants|POIFSConstants|POIFSConstants.END_OF_CHAIN|Variable|org.apache.poi.poifs.storage|BlockAllocationTableWriter|BlockAllocationTableWriter|BlockAllocationTableWriter.java|98
POIFSConstants|POIFSConstants|POIFSConstants.END_OF_CHAIN|Variable|org.apache.poi.poifs.storage|BATBlock|createXBATBlocks|BATBlock.java|167
POIFSConstants|POIFSConstants|POIFSConstants.END_OF_CHAIN|Variable|org.apache.poi.poifs.storage|HeaderBlockWriter|HeaderBlockWriter|HeaderBlockWriter.java|118
POIFSConstants|POIFSConstants|POIFSConstants.END_OF_CHAIN|Variable|org.apache.poi.poifs.storage|HeaderBlockWriter|HeaderBlockWriter|HeaderBlockWriter.java|123
POIFSConstants|POIFSConstants|POIFSConstants.END_OF_CHAIN|Variable|org.apache.poi.poifs.storage|HeaderBlockWriter|HeaderBlockWriter|HeaderBlockWriter.java|126
POIFSConstants|POIFSConstants|POIFSConstants.END_OF_CHAIN|Variable|org.apache.poi.poifs.storage|BlockAllocationTableReader|fetchBlocks|BlockAllocationTableReader.java|225
POIFSConstants|POIFSConstants|POIFSConstants.END_OF_CHAIN|Variable|org.apache.poi.poifs.common|POIFSConstants|?|POIFSConstants.java|66
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.storage|PropertyBlock|?|PropertyBlock.java|78
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.storage|SmallDocumentBlock|?|SmallDocumentBlock.java|78
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.storage|DocumentBlock|DocumentBlock|DocumentBlock.java|121
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.storage|DocumentBlock|read|DocumentBlock.java|210
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.storage|DocumentBlock|read|DocumentBlock.java|211
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.storage|DocumentBlock|read|DocumentBlock.java|213
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.storage|DocumentBlock|read|DocumentBlock.java|226
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.storage|DocumentBlock|read|DocumentBlock.java|228
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.storage|DocumentBlock|read|DocumentBlock.java|232
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.storage|DocumentBlock|read|DocumentBlock.java|233
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.storage|DocumentBlock|convert|DocumentBlock.java|171
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.storage|DocumentBlock|convert|DocumentBlock.java|171
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.storage|DocumentBlock|convert|DocumentBlock.java|194
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.storage|DocumentBlock|convert|DocumentBlock.java|179
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.storage|DocumentBlock|convert|DocumentBlock.java|183
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.storage|DocumentBlock|convert|DocumentBlock.java|186
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.storage|RawDataBlock|RawDataBlock|RawDataBlock.java|86
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.storage|RawDataBlock|RawDataBlock|RawDataBlock.java|93
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.storage|RawDataBlock|RawDataBlock|RawDataBlock.java|100
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.filesystem|POIFSDocument|countBlocks|POIFSDocument.java|657
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.filesystem|POIFSDocument|countBlocks|POIFSDocument.java|658
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.filesystem|POIFSDocument|writeBlocks|POIFSDocument.java|631
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.storage|BATBlock|?|BATBlock.java|79
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.storage|BATBlock|BATBlock|BATBlock.java|94
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.storage|HeaderBlockWriter|HeaderBlockWriter|HeaderBlockWriter.java|102
POIFSConstants|POIFSConstants|POIFSConstants.BIG_BLOCK_SIZE|Variable|org.apache.poi.poifs.common|POIFSConstants|?|POIFSConstants.java|65
