java -classpath ..\..\emma-2.0.5312\out\emma.jar emmarun -f -r arff -sp mozilla\js\rhino\src -Dreport.out.file mozilla\js\tests\ecma\Array\15.4.2.1-2.compiled.arff -classpath mozilla\js\rhino\build\classes org.mozilla.javascript.tools.shell.Main -opt 0 -f mozilla\js\tests\shell.js -f mozilla\js\tests\ecma\shell.js -f mozilla\js\tests\ecma\Array\shell.js -f mozilla\js\tests\ecma\Array\15.4.2.1-2.js  
EMMA: processing classpath ...
EMMA: [128 class(es) processed in 344 ms]
15.4.2.1-2 The Array Constructor:  new Array( item0, item1, ...)
[0] = 0 PASSED!
[1] = 1 PASSED!
[2] = 2 PASSED!
[3] = 3 PASSED!
[4] = 4 PASSED!
[5] = 5 PASSED!
[6] = 6 PASSED!
[7] = 7 PASSED!
[8] = 8 PASSED!
[9] = 9 PASSED!
[10] = 10 PASSED!
[11] = 11 PASSED!
[12] = 12 PASSED!
[13] = 13 PASSED!
[14] = 14 PASSED!
[15] = 15 PASSED!
[16] = 16 PASSED!
[17] = 17 PASSED!
[18] = 18 PASSED!
[19] = 19 PASSED!
[20] = 20 PASSED!
[21] = 21 PASSED!
[22] = 22 PASSED!
[23] = 23 PASSED!
[24] = 24 PASSED!
[25] = 25 PASSED!
[26] = 26 PASSED!
[27] = 27 PASSED!
[28] = 28 PASSED!
[29] = 29 PASSED!
[30] = 30 PASSED!
[31] = 31 PASSED!
[32] = 32 PASSED!
[33] = 33 PASSED!
[34] = 34 PASSED!
[35] = 35 PASSED!
[36] = 36 PASSED!
[37] = 37 PASSED!
[38] = 38 PASSED!
[39] = 39 PASSED!
[40] = 40 PASSED!
[41] = 41 PASSED!
[42] = 42 PASSED!
[43] = 43 PASSED!
[44] = 44 PASSED!
[45] = 45 PASSED!
[46] = 46 PASSED!
[47] = 47 PASSED!
[48] = 48 PASSED!
[49] = 49 PASSED!
[50] = 50 PASSED!
[51] = 51 PASSED!
[52] = 52 PASSED!
[53] = 53 PASSED!
[54] = 54 PASSED!
[55] = 55 PASSED!
[56] = 56 PASSED!
[57] = 57 PASSED!
[58] = 58 PASSED!
[59] = 59 PASSED!
[60] = 60 PASSED!
[61] = 61 PASSED!
[62] = 62 PASSED!
[63] = 63 PASSED!
[64] = 64 PASSED!
[65] = 65 PASSED!
[66] = 66 PASSED!
[67] = 67 PASSED!
[68] = 68 PASSED!
[69] = 69 PASSED!
[70] = 70 PASSED!
[71] = 71 PASSED!
[72] = 72 PASSED!
[73] = 73 PASSED!
[74] = 74 PASSED!
[75] = 75 PASSED!
[76] = 76 PASSED!
[77] = 77 PASSED!
[78] = 78 PASSED!
[79] = 79 PASSED!
[80] = 80 PASSED!
[81] = 81 PASSED!
[82] = 82 PASSED!
[83] = 83 PASSED!
[84] = 84 PASSED!
[85] = 85 PASSED!
[86] = 86 PASSED!
[87] = 87 PASSED!
[88] = 88 PASSED!
[89] = 89 PASSED!
[90] = 90 PASSED!
[91] = 91 PASSED!
[92] = 92 PASSED!
[93] = 93 PASSED!
[94] = 94 PASSED!
[95] = 95 PASSED!
[96] = 96 PASSED!
[97] = 97 PASSED!
[98] = 98 PASSED!
[99] = 99 PASSED!
[100] = 100 PASSED!
[101] = 101 PASSED!
[102] = 102 PASSED!
[103] = 103 PASSED!
[104] = 104 PASSED!
[105] = 105 PASSED!
[106] = 106 PASSED!
[107] = 107 PASSED!
[108] = 108 PASSED!
[109] = 109 PASSED!
[110] = 110 PASSED!
[111] = 111 PASSED!
[112] = 112 PASSED!
[113] = 113 PASSED!
[114] = 114 PASSED!
[115] = 115 PASSED!
[116] = 116 PASSED!
[117] = 117 PASSED!
[118] = 118 PASSED!
[119] = 119 PASSED!
[120] = 120 PASSED!
[121] = 121 PASSED!
[122] = 122 PASSED!
[123] = 123 PASSED!
[124] = 124 PASSED!
[125] = 125 PASSED!
[126] = 126 PASSED!
[127] = 127 PASSED!
[128] = 128 PASSED!
[129] = 129 PASSED!
[130] = 130 PASSED!
[131] = 131 PASSED!
[132] = 132 PASSED!
[133] = 133 PASSED!
[134] = 134 PASSED!
[135] = 135 PASSED!
[136] = 136 PASSED!
[137] = 137 PASSED!
[138] = 138 PASSED!
[139] = 139 PASSED!
[140] = 140 PASSED!
[141] = 141 PASSED!
[142] = 142 PASSED!
[143] = 143 PASSED!
[144] = 144 PASSED!
[145] = 145 PASSED!
[146] = 146 PASSED!
[147] = 147 PASSED!
[148] = 148 PASSED!
[149] = 149 PASSED!
[150] = 150 PASSED!
[151] = 151 PASSED!
[152] = 152 PASSED!
[153] = 153 PASSED!
[154] = 154 PASSED!
[155] = 155 PASSED!
[156] = 156 PASSED!
[157] = 157 PASSED!
[158] = 158 PASSED!
[159] = 159 PASSED!
[160] = 160 PASSED!
[161] = 161 PASSED!
[162] = 162 PASSED!
[163] = 163 PASSED!
[164] = 164 PASSED!
[165] = 165 PASSED!
[166] = 166 PASSED!
[167] = 167 PASSED!
[168] = 168 PASSED!
[169] = 169 PASSED!
[170] = 170 PASSED!
[171] = 171 PASSED!
[172] = 172 PASSED!
[173] = 173 PASSED!
[174] = 174 PASSED!
[175] = 175 PASSED!
[176] = 176 PASSED!
[177] = 177 PASSED!
[178] = 178 PASSED!
[179] = 179 PASSED!
[180] = 180 PASSED!
[181] = 181 PASSED!
[182] = 182 PASSED!
[183] = 183 PASSED!
[184] = 184 PASSED!
[185] = 185 PASSED!
[186] = 186 PASSED!
[187] = 187 PASSED!
[188] = 188 PASSED!
[189] = 189 PASSED!
[190] = 190 PASSED!
[191] = 191 PASSED!
[192] = 192 PASSED!
[193] = 193 PASSED!
[194] = 194 PASSED!
[195] = 195 PASSED!
[196] = 196 PASSED!
[197] = 197 PASSED!
[198] = 198 PASSED!
[199] = 199 PASSED!
[200] = 200 PASSED!
[201] = 201 PASSED!
[202] = 202 PASSED!
[203] = 203 PASSED!
[204] = 204 PASSED!
[205] = 205 PASSED!
[206] = 206 PASSED!
[207] = 207 PASSED!
[208] = 208 PASSED!
[209] = 209 PASSED!
[210] = 210 PASSED!
[211] = 211 PASSED!
[212] = 212 PASSED!
[213] = 213 PASSED!
[214] = 214 PASSED!
[215] = 215 PASSED!
[216] = 216 PASSED!
[217] = 217 PASSED!
[218] = 218 PASSED!
[219] = 219 PASSED!
[220] = 220 PASSED!
[221] = 221 PASSED!
[222] = 222 PASSED!
[223] = 223 PASSED!
[224] = 224 PASSED!
[225] = 225 PASSED!
[226] = 226 PASSED!
[227] = 227 PASSED!
[228] = 228 PASSED!
[229] = 229 PASSED!
[230] = 230 PASSED!
[231] = 231 PASSED!
[232] = 232 PASSED!
[233] = 233 PASSED!
[234] = 234 PASSED!
[235] = 235 PASSED!
[236] = 236 PASSED!
[237] = 237 PASSED!
[238] = 238 PASSED!
[239] = 239 PASSED!
[240] = 240 PASSED!
[241] = 241 PASSED!
[242] = 242 PASSED!
[243] = 243 PASSED!
[244] = 244 PASSED!
[245] = 245 PASSED!
[246] = 246 PASSED!
[247] = 247 PASSED!
[248] = 248 PASSED!
[249] = 249 PASSED!
[250] = 250 PASSED!
[251] = 251 PASSED!
[252] = 252 PASSED!
[253] = 253 PASSED!
[254] = 254 PASSED!
[255] = 255 PASSED!
[256] = 256 PASSED!
[257] = 257 PASSED!
[258] = 258 PASSED!
[259] = 259 PASSED!
[260] = 260 PASSED!
[261] = 261 PASSED!
[262] = 262 PASSED!
[263] = 263 PASSED!
[264] = 264 PASSED!
[265] = 265 PASSED!
[266] = 266 PASSED!
[267] = 267 PASSED!
[268] = 268 PASSED!
[269] = 269 PASSED!
[270] = 270 PASSED!
[271] = 271 PASSED!
[272] = 272 PASSED!
[273] = 273 PASSED!
[274] = 274 PASSED!
[275] = 275 PASSED!
[276] = 276 PASSED!
[277] = 277 PASSED!
[278] = 278 PASSED!
[279] = 279 PASSED!
[280] = 280 PASSED!
[281] = 281 PASSED!
[282] = 282 PASSED!
[283] = 283 PASSED!
[284] = 284 PASSED!
[285] = 285 PASSED!
[286] = 286 PASSED!
[287] = 287 PASSED!
[288] = 288 PASSED!
[289] = 289 PASSED!
[290] = 290 PASSED!
[291] = 291 PASSED!
[292] = 292 PASSED!
[293] = 293 PASSED!
[294] = 294 PASSED!
[295] = 295 PASSED!
[296] = 296 PASSED!
[297] = 297 PASSED!
[298] = 298 PASSED!
[299] = 299 PASSED!
[300] = 300 PASSED!
[301] = 301 PASSED!
[302] = 302 PASSED!
[303] = 303 PASSED!
[304] = 304 PASSED!
[305] = 305 PASSED!
[306] = 306 PASSED!
[307] = 307 PASSED!
[308] = 308 PASSED!
[309] = 309 PASSED!
[310] = 310 PASSED!
[311] = 311 PASSED!
[312] = 312 PASSED!
[313] = 313 PASSED!
[314] = 314 PASSED!
[315] = 315 PASSED!
[316] = 316 PASSED!
[317] = 317 PASSED!
[318] = 318 PASSED!
[319] = 319 PASSED!
[320] = 320 PASSED!
[321] = 321 PASSED!
[322] = 322 PASSED!
[323] = 323 PASSED!
[324] = 324 PASSED!
[325] = 325 PASSED!
[326] = 326 PASSED!
[327] = 327 PASSED!
[328] = 328 PASSED!
[329] = 329 PASSED!
[330] = 330 PASSED!
[331] = 331 PASSED!
[332] = 332 PASSED!
[333] = 333 PASSED!
[334] = 334 PASSED!
[335] = 335 PASSED!
[336] = 336 PASSED!
[337] = 337 PASSED!
[338] = 338 PASSED!
[339] = 339 PASSED!
[340] = 340 PASSED!
[341] = 341 PASSED!
[342] = 342 PASSED!
[343] = 343 PASSED!
[344] = 344 PASSED!
[345] = 345 PASSED!
[346] = 346 PASSED!
[347] = 347 PASSED!
[348] = 348 PASSED!
[349] = 349 PASSED!
[350] = 350 PASSED!
[351] = 351 PASSED!
[352] = 352 PASSED!
[353] = 353 PASSED!
[354] = 354 PASSED!
[355] = 355 PASSED!
[356] = 356 PASSED!
[357] = 357 PASSED!
[358] = 358 PASSED!
[359] = 359 PASSED!
[360] = 360 PASSED!
[361] = 361 PASSED!
[362] = 362 PASSED!
[363] = 363 PASSED!
[364] = 364 PASSED!
[365] = 365 PASSED!
[366] = 366 PASSED!
[367] = 367 PASSED!
[368] = 368 PASSED!
[369] = 369 PASSED!
[370] = 370 PASSED!
[371] = 371 PASSED!
[372] = 372 PASSED!
[373] = 373 PASSED!
[374] = 374 PASSED!
[375] = 375 PASSED!
[376] = 376 PASSED!
[377] = 377 PASSED!
[378] = 378 PASSED!
[379] = 379 PASSED!
[380] = 380 PASSED!
[381] = 381 PASSED!
[382] = 382 PASSED!
[383] = 383 PASSED!
[384] = 384 PASSED!
[385] = 385 PASSED!
[386] = 386 PASSED!
[387] = 387 PASSED!
[388] = 388 PASSED!
[389] = 389 PASSED!
[390] = 390 PASSED!
[391] = 391 PASSED!
[392] = 392 PASSED!
[393] = 393 PASSED!
[394] = 394 PASSED!
[395] = 395 PASSED!
[396] = 396 PASSED!
[397] = 397 PASSED!
[398] = 398 PASSED!
[399] = 399 PASSED!
[400] = 400 PASSED!
[401] = 401 PASSED!
[402] = 402 PASSED!
[403] = 403 PASSED!
[404] = 404 PASSED!
[405] = 405 PASSED!
[406] = 406 PASSED!
[407] = 407 PASSED!
[408] = 408 PASSED!
[409] = 409 PASSED!
[410] = 410 PASSED!
[411] = 411 PASSED!
[412] = 412 PASSED!
[413] = 413 PASSED!
[414] = 414 PASSED!
[415] = 415 PASSED!
[416] = 416 PASSED!
[417] = 417 PASSED!
[418] = 418 PASSED!
[419] = 419 PASSED!
[420] = 420 PASSED!
[421] = 421 PASSED!
[422] = 422 PASSED!
[423] = 423 PASSED!
[424] = 424 PASSED!
[425] = 425 PASSED!
[426] = 426 PASSED!
[427] = 427 PASSED!
[428] = 428 PASSED!
[429] = 429 PASSED!
[430] = 430 PASSED!
[431] = 431 PASSED!
[432] = 432 PASSED!
[433] = 433 PASSED!
[434] = 434 PASSED!
[435] = 435 PASSED!
[436] = 436 PASSED!
[437] = 437 PASSED!
[438] = 438 PASSED!
[439] = 439 PASSED!
[440] = 440 PASSED!
[441] = 441 PASSED!
[442] = 442 PASSED!
[443] = 443 PASSED!
[444] = 444 PASSED!
[445] = 445 PASSED!
[446] = 446 PASSED!
[447] = 447 PASSED!
[448] = 448 PASSED!
[449] = 449 PASSED!
[450] = 450 PASSED!
[451] = 451 PASSED!
[452] = 452 PASSED!
[453] = 453 PASSED!
[454] = 454 PASSED!
[455] = 455 PASSED!
[456] = 456 PASSED!
[457] = 457 PASSED!
[458] = 458 PASSED!
[459] = 459 PASSED!
[460] = 460 PASSED!
[461] = 461 PASSED!
[462] = 462 PASSED!
[463] = 463 PASSED!
[464] = 464 PASSED!
[465] = 465 PASSED!
[466] = 466 PASSED!
[467] = 467 PASSED!
[468] = 468 PASSED!
[469] = 469 PASSED!
[470] = 470 PASSED!
[471] = 471 PASSED!
[472] = 472 PASSED!
[473] = 473 PASSED!
[474] = 474 PASSED!
[475] = 475 PASSED!
[476] = 476 PASSED!
[477] = 477 PASSED!
[478] = 478 PASSED!
[479] = 479 PASSED!
[480] = 480 PASSED!
[481] = 481 PASSED!
[482] = 482 PASSED!
[483] = 483 PASSED!
[484] = 484 PASSED!
[485] = 485 PASSED!
[486] = 486 PASSED!
[487] = 487 PASSED!
[488] = 488 PASSED!
[489] = 489 PASSED!
[490] = 490 PASSED!
[491] = 491 PASSED!
[492] = 492 PASSED!
