java -classpath ..\..\emma-2.0.5312\out\emma.jar emmarun -f -r arff -sp mozilla\js\rhino\src -Dreport.out.file mozilla\js\tests\ecma\Date\15.9.3.1-2.compiled.arff -classpath mozilla\js\rhino\build\classes org.mozilla.javascript.tools.shell.Main -opt 0 -f mozilla\js\tests\shell.js -f mozilla\js\tests\ecma\shell.js -f mozilla\js\tests\ecma\Date\shell.js -f mozilla\js\tests\ecma\Date\15.9.3.1-2.js  
EMMA: processing classpath ...
EMMA: [128 class(es) processed in 328 ms]
15.9.3.1 new Date( year, month, date, hours, minutes, seconds, ms )
new Date( 1999,11,31,15,59,59,999).getTime() = 946673999999 PASSED!
new Date( 1999,11,31,15,59,59,999).valueOf() = 946673999999 PASSED!
new Date( 1999,11,31,15,59,59,999).getUTCFullYear() = 1999 PASSED!
new Date( 1999,11,31,15,59,59,999).getUTCMonth() = 11 PASSED!
new Date( 1999,11,31,15,59,59,999).getUTCDate() = 31 PASSED!
new Date( 1999,11,31,15,59,59,999).getUTCDay() = 5 PASSED!
new Date( 1999,11,31,15,59,59,999).getUTCHours() = 20 PASSED!
new Date( 1999,11,31,15,59,59,999).getUTCMinutes() = 59 PASSED!
new Date( 1999,11,31,15,59,59,999).getUTCSeconds() = 59 PASSED!
new Date( 1999,11,31,15,59,59,999).getUTCMilliseconds() = 999 PASSED!
new Date( 1999,11,31,15,59,59,999).getFullYear() = 1999 PASSED!
new Date( 1999,11,31,15,59,59,999).getMonth() = 11 PASSED!
new Date( 1999,11,31,15,59,59,999).getDate() = 31 PASSED!
new Date( 1999,11,31,15,59,59,999).getDay() = 5 PASSED!
new Date( 1999,11,31,15,59,59,999).getHours() = 15 PASSED!
new Date( 1999,11,31,15,59,59,999).getMinutes() = 59 PASSED!
new Date( 1999,11,31,15,59,59,999).getSeconds() = 59 PASSED!
new Date( 1999,11,31,15,59,59,999).getMilliseconds() = 999 PASSED!
new Date( 1999,11,31,16,0,0,0).getTime() = 946674000000 PASSED!
new Date( 1999,11,31,16,0,0,0).valueOf() = 946674000000 PASSED!
new Date( 1999,11,31,16,0,0,0).getUTCFullYear() = 1999 PASSED!
new Date( 1999,11,31,16,0,0,0).getUTCMonth() = 11 PASSED!
new Date( 1999,11,31,16,0,0,0).getUTCDate() = 31 PASSED!
new Date( 1999,11,31,16,0,0,0).getUTCDay() = 5 PASSED!
new Date( 1999,11,31,16,0,0,0).getUTCHours() = 21 PASSED!
new Date( 1999,11,31,16,0,0,0).getUTCMinutes() = 0 PASSED!
new Date( 1999,11,31,16,0,0,0).getUTCSeconds() = 0 PASSED!
new Date( 1999,11,31,16,0,0,0).getUTCMilliseconds() = 0 PASSED!
new Date( 1999,11,31,16,0,0,0).getFullYear() = 1999 PASSED!
new Date( 1999,11,31,16,0,0,0).getMonth() = 11 PASSED!
new Date( 1999,11,31,16,0,0,0).getDate() = 31 PASSED!
new Date( 1999,11,31,16,0,0,0).getDay() = 5 PASSED!
new Date( 1999,11,31,16,0,0,0).getHours() = 16 PASSED!
new Date( 1999,11,31,16,0,0,0).getMinutes() = 0 PASSED!
new Date( 1999,11,31,16,0,0,0).getSeconds() = 0 PASSED!
new Date( 1999,11,31,16,0,0,0).getMilliseconds() = 0 PASSED!
new Date( 1999,11,31,23,59,59,999).getTime() = 946702799999 PASSED!
new Date( 1999,11,31,23,59,59,999).valueOf() = 946702799999 PASSED!
new Date( 1999,11,31,23,59,59,999).getUTCFullYear() = 2000 PASSED!
new Date( 1999,11,31,23,59,59,999).getUTCMonth() = 0 PASSED!
new Date( 1999,11,31,23,59,59,999).getUTCDate() = 1 PASSED!
new Date( 1999,11,31,23,59,59,999).getUTCDay() = 6 PASSED!
new Date( 1999,11,31,23,59,59,999).getUTCHours() = 4 PASSED!
new Date( 1999,11,31,23,59,59,999).getUTCMinutes() = 59 PASSED!
new Date( 1999,11,31,23,59,59,999).getUTCSeconds() = 59 PASSED!
new Date( 1999,11,31,23,59,59,999).getUTCMilliseconds() = 999 PASSED!
new Date( 1999,11,31,23,59,59,999).getFullYear() = 1999 PASSED!
new Date( 1999,11,31,23,59,59,999).getMonth() = 11 PASSED!
new Date( 1999,11,31,23,59,59,999).getDate() = 31 PASSED!
new Date( 1999,11,31,23,59,59,999).getDay() = 5 PASSED!
new Date( 1999,11,31,23,59,59,999).getHours() = 23 PASSED!
new Date( 1999,11,31,23,59,59,999).getMinutes() = 59 PASSED!
