java -classpath ..\..\emma-2.0.5312\out\emma.jar emmarun -f -r arff -sp mozilla\js\rhino\src -Dreport.out.file mozilla\js\tests\ecma\Expressions\11.10-1.interpreted.arff -classpath mozilla\js\rhino\build\classes org.mozilla.javascript.tools.shell.Main -opt -1 -f mozilla\js\tests\shell.js -f mozilla\js\tests\ecma\shell.js -f mozilla\js\tests\ecma\Expressions\shell.js -f mozilla\js\tests\ecma\Expressions\11.10-1.js  
EMMA: processing classpath ...
EMMA: [128 class(es) processed in 328 ms]
11.10-1 Binary Bitwise Operators:  &
1 & 1 = 1 PASSED!
1 & 3 = 1 PASSED!
1 & 7 = 1 PASSED!
1 & 15 = 1 PASSED!
1 & 31 = 1 PASSED!
1 & 63 = 1 PASSED!
1 & 127 = 1 PASSED!
1 & 255 = 1 PASSED!
1 & 511 = 1 PASSED!
1 & 1023 = 1 PASSED!
1 & 2047 = 1 PASSED!
1 & 4095 = 1 PASSED!
1 & 8191 = 1 PASSED!
1 & 16383 = 1 PASSED!
1 & 32767 = 1 PASSED!
1 & 65535 = 1 PASSED!
1 & 131071 = 1 PASSED!
1 & 262143 = 1 PASSED!
1 & 524287 = 1 PASSED!
1 & 1048575 = 1 PASSED!
1 & 2097151 = 1 PASSED!
1 & 4194303 = 1 PASSED!
1 & 8388607 = 1 PASSED!
1 & 16777215 = 1 PASSED!
1 & 33554431 = 1 PASSED!
1 & 67108863 = 1 PASSED!
1 & 134217727 = 1 PASSED!
1 & 268435455 = 1 PASSED!
1 & 536870911 = 1 PASSED!
1 & 1073741823 = 1 PASSED!
1 & 2147483647 = 1 PASSED!
1 & 4294967295 = 1 PASSED!
1 & 8589934591 = 1 PASSED!
EMMA: writing [arff] report to [C:\PROJECTS\concerntagger_1.5.3\tests\Rhino\mozilla\js\tests\ecma\Expressions\11.10-1.interpreted.arff] ...
