java -classpath ..\..\emma-2.0.5312\out\emma.jar emmarun -f -r arff -sp mozilla\js\rhino\src -Dreport.out.file mozilla\js\tests\ecma\Expressions\11.10-2.interpreted.arff -classpath mozilla\js\rhino\build\classes org.mozilla.javascript.tools.shell.Main -opt -1 -f mozilla\js\tests\shell.js -f mozilla\js\tests\ecma\shell.js -f mozilla\js\tests\ecma\Expressions\shell.js -f mozilla\js\tests\ecma\Expressions\11.10-2.js  
EMMA: processing classpath ...
EMMA: [128 class(es) processed in 343 ms]
11.10-2 Binary Bitwise Operators:  |
1 | 1 = 1 PASSED!
1 | 3 = 3 PASSED!
1 | 7 = 7 PASSED!
1 | 15 = 15 PASSED!
1 | 31 = 31 PASSED!
1 | 63 = 63 PASSED!
1 | 127 = 127 PASSED!
1 | 255 = 255 PASSED!
1 | 511 = 511 PASSED!
1 | 1023 = 1023 PASSED!
1 | 2047 = 2047 PASSED!
1 | 4095 = 4095 PASSED!
1 | 8191 = 8191 PASSED!
1 | 16383 = 16383 PASSED!
1 | 32767 = 32767 PASSED!
1 | 65535 = 65535 PASSED!
1 | 131071 = 131071 PASSED!
1 | 262143 = 262143 PASSED!
1 | 524287 = 524287 PASSED!
1 | 1048575 = 1048575 PASSED!
1 | 2097151 = 2097151 PASSED!
1 | 4194303 = 4194303 PASSED!
1 | 8388607 = 8388607 PASSED!
1 | 16777215 = 16777215 PASSED!
1 | 33554431 = 33554431 PASSED!
1 | 67108863 = 67108863 PASSED!
1 | 134217727 = 134217727 PASSED!
1 | 268435455 = 268435455 PASSED!
1 | 536870911 = 536870911 PASSED!
1 | 1073741823 = 1073741823 PASSED!
1 | 2147483647 = 2147483647 PASSED!
1 | 4294967295 = -1 PASSED!
1 | 8589934591 = -1 PASSED!
3 | 8589934592 = 3 PASSED!
3 | 8589934594 = 3 PASSED!
3 | 8589934598 = 7 PASSED!
3 | 8589934606 = 15 PASSED!
3 | 8589934622 = 31 PASSED!
3 | 8589934654 = 63 PASSED!
3 | 8589934718 = 127 PASSED!
3 | 8589934846 = 255 PASSED!
3 | 8589935102 = 511 PASSED!
3 | 8589935614 = 1023 PASSED!
3 | 8589936638 = 2047 PASSED!
3 | 8589938686 = 4095 PASSED!
3 | 8589942782 = 8191 PASSED!
3 | 8589950974 = 16383 PASSED!
3 | 8589967358 = 32767 PASSED!
3 | 8590000126 = 65535 PASSED!
3 | 8590065662 = 131071 PASSED!
3 | 8590196734 = 262143 PASSED!
3 | 8590458878 = 524287 PASSED!
3 | 8590983166 = 1048575 PASSED!
3 | 8592031742 = 2097151 PASSED!
3 | 8594128894 = 4194303 PASSED!
3 | 8598323198 = 8388607 PASSED!
3 | 8606711806 = 16777215 PASSED!
3 | 8623489022 = 33554431 PASSED!
3 | 8657043454 = 67108863 PASSED!
3 | 8724152318 = 134217727 PASSED!
3 | 8858370046 = 268435455 PASSED!
3 | 9126805502 = 536870911 PASSED!
3 | 9663676414 = 1073741823 PASSED!
3 | 10737418238 = 2147483647 PASSED!
3 | 12884901886 = -1 PASSED!
3 | 17179869182 = -1 PASSED!
7 | 17179869183 = -1 PASSED!
7 | 17179869185 = 7 PASSED!
7 | 17179869189 = 7 PASSED!
7 | 17179869197 = 15 PASSED!
7 | 17179869213 = 31 PASSED!
