java -classpath ..\..\emma-2.0.5312\out\emma.jar emmarun -f -r arff -sp mozilla\js\rhino\src -Dreport.out.file mozilla\js\tests\ecma\Expressions\11.4.8.interpreted.arff -classpath mozilla\js\rhino\build\classes org.mozilla.javascript.tools.shell.Main -opt -1 -f mozilla\js\tests\shell.js -f mozilla\js\tests\ecma\shell.js -f mozilla\js\tests\ecma\Expressions\shell.js -f mozilla\js\tests\ecma\Expressions\11.4.8.js  
EMMA: processing classpath ...
EMMA: [128 class(es) processed in 328 ms]
11.4.8 Bitwise Not operator
~1 = -2 PASSED!
~2 = -3 PASSED!
~4 = -5 PASSED!
~8 = -9 PASSED!
~16 = -17 PASSED!
~32 = -33 PASSED!
~64 = -65 PASSED!
~128 = -129 PASSED!
~256 = -257 PASSED!
~512 = -513 PASSED!
~1024 = -1025 PASSED!
~2048 = -2049 PASSED!
~4096 = -4097 PASSED!
~8192 = -8193 PASSED!
~16384 = -16385 PASSED!
~32768 = -32769 PASSED!
~65536 = -65537 PASSED!
~131072 = -131073 PASSED!
~262144 = -262145 PASSED!
~524288 = -524289 PASSED!
~1048576 = -1048577 PASSED!
~2097152 = -2097153 PASSED!
~4194304 = -4194305 PASSED!
~8388608 = -8388609 PASSED!
~16777216 = -16777217 PASSED!
~33554432 = -33554433 PASSED!
~67108864 = -67108865 PASSED!
~134217728 = -134217729 PASSED!
~268435456 = -268435457 PASSED!
~536870912 = -536870913 PASSED!
~1073741824 = -1073741825 PASSED!
~2147483648 = 2147483647 PASSED!
~4294967296 = -1 PASSED!
~8589934592 = -1 PASSED!
~17179869184 = -1 PASSED!
~-1 = 0 PASSED!
~-2 = 1 PASSED!
~-4 = 3 PASSED!
~-8 = 7 PASSED!
~-16 = 15 PASSED!
~-32 = 31 PASSED!
~-64 = 63 PASSED!
~-128 = 127 PASSED!
~-256 = 255 PASSED!
~-512 = 511 PASSED!
~-1024 = 1023 PASSED!
~-2048 = 2047 PASSED!
~-4096 = 4095 PASSED!
~-8192 = 8191 PASSED!
~-16384 = 16383 PASSED!
~-32768 = 32767 PASSED!
~-65536 = 65535 PASSED!
~-131072 = 131071 PASSED!
~-262144 = 262143 PASSED!
~-524288 = 524287 PASSED!
~-1048576 = 1048575 PASSED!
~-2097152 = 2097151 PASSED!
~-4194304 = 4194303 PASSED!
~-8388608 = 8388607 PASSED!
~-16777216 = 16777215 PASSED!
~-33554432 = 33554431 PASSED!
~-67108864 = 67108863 PASSED!
~-134217728 = 134217727 PASSED!
~-268435456 = 268435455 PASSED!
~-536870912 = 536870911 PASSED!
~-1073741824 = 1073741823 PASSED!
~-2147483648 = 2147483647 PASSED!
~-4294967296 = -1 PASSED!
~-8589934592 = -1 PASSED!
~-17179869184 = -1 PASSED!
EMMA: writing [arff] report to [C:\PROJECTS\concerntagger_1.5.3\tests\Rhino\mozilla\js\tests\ecma\Expressions\11.4.8.interpreted.arff] ...
