java -classpath ..\..\emma-2.0.5312\out\emma.jar emmarun -f -r arff -sp mozilla\js\rhino\src -Dreport.out.file mozilla\js\tests\ecma\String\15.5.4.5-4.interpreted.arff -classpath mozilla\js\rhino\build\classes org.mozilla.javascript.tools.shell.Main -opt -1 -f mozilla\js\tests\shell.js -f mozilla\js\tests\ecma\shell.js -f mozilla\js\tests\ecma\String\shell.js -f mozilla\js\tests\ecma\String\15.5.4.5-4.js  
EMMA: processing classpath ...
EMMA: [128 class(es) processed in 343 ms]
15.5.4.5-4 String.prototype.charCodeAt(pos)
(String.fromCharCode(0)).charCodeAt(0) = 0 PASSED!
(String.fromCharCode(1)).charCodeAt(0) = 1 PASSED!
(String.fromCharCode(2)).charCodeAt(0) = 2 PASSED!
(String.fromCharCode(3)).charCodeAt(0) = 3 PASSED!
(String.fromCharCode(4)).charCodeAt(0) = 4 PASSED!
(String.fromCharCode(5)).charCodeAt(0) = 5 PASSED!
(String.fromCharCode(6)).charCodeAt(0) = 6 PASSED!
(String.fromCharCode(7)).charCodeAt(0) = 7 PASSED!
(String.fromCharCode(8)).charCodeAt(0) = 8 PASSED!
(String.fromCharCode(9)).charCodeAt(0) = 9 PASSED!
(String.fromCharCode(10)).charCodeAt(0) = 10 PASSED!
(String.fromCharCode(11)).charCodeAt(0) = 11 PASSED!
(String.fromCharCode(12)).charCodeAt(0) = 12 PASSED!
(String.fromCharCode(13)).charCodeAt(0) = 13 PASSED!
(String.fromCharCode(14)).charCodeAt(0) = 14 PASSED!
(String.fromCharCode(15)).charCodeAt(0) = 15 PASSED!
(String.fromCharCode(16)).charCodeAt(0) = 16 PASSED!
(String.fromCharCode(17)).charCodeAt(0) = 17 PASSED!
(String.fromCharCode(18)).charCodeAt(0) = 18 PASSED!
(String.fromCharCode(19)).charCodeAt(0) = 19 PASSED!
(String.fromCharCode(20)).charCodeAt(0) = 20 PASSED!
(String.fromCharCode(21)).charCodeAt(0) = 21 PASSED!
(String.fromCharCode(22)).charCodeAt(0) = 22 PASSED!
(String.fromCharCode(23)).charCodeAt(0) = 23 PASSED!
(String.fromCharCode(24)).charCodeAt(0) = 24 PASSED!
(String.fromCharCode(25)).charCodeAt(0) = 25 PASSED!
(String.fromCharCode(26)).charCodeAt(0) = 26 PASSED!
(String.fromCharCode(27)).charCodeAt(0) = 27 PASSED!
(String.fromCharCode(28)).charCodeAt(0) = 28 PASSED!
(String.fromCharCode(29)).charCodeAt(0) = 29 PASSED!
(String.fromCharCode(30)).charCodeAt(0) = 30 PASSED!
(String.fromCharCode(31)).charCodeAt(0) = 31 PASSED!
(String.fromCharCode(32)).charCodeAt(0) = 32 PASSED!
(String.fromCharCode(33)).charCodeAt(0) = 33 PASSED!
(String.fromCharCode(34)).charCodeAt(0) = 34 PASSED!
(String.fromCharCode(35)).charCodeAt(0) = 35 PASSED!
(String.fromCharCode(36)).charCodeAt(0) = 36 PASSED!
(String.fromCharCode(37)).charCodeAt(0) = 37 PASSED!
(String.fromCharCode(38)).charCodeAt(0) = 38 PASSED!
